Instance,Type,Name,ID
NHMIS Instance,NHMIS instance dataelements,001. BCG Vaccine - Maximum Stock,rMHjwQURtLP
NHMIS Instance,NHMIS instance dataelements,002. BCG Vaccine - Minimum Stock,BcCv5x3V9eC
NHMIS Instance,NHMIS instance dataelements,003. BCG Vaccine - Opening Balance,ErTqDac9AWS
NHMIS Instance,NHMIS instance dataelements,004. BCG Vaccine - Received,lfpihH3c3wE
NHMIS Instance,NHMIS instance dataelements,005. BCG Vaccine - Doses Opened,v9MMc90xrUa
NHMIS Instance,NHMIS instance dataelements,006. BCG Vaccine - Returned,xCZBDlHtK9S
NHMIS Instance,NHMIS instance dataelements,007. BCG Diluents - Maximum Stock,bHPMvsu01bB
NHMIS Instance,NHMIS instance dataelements,008. BCG Diluent - Minimum Stock,BuWozZcMPVd
NHMIS Instance,NHMIS instance dataelements,009. BCG Diluent - Opening Balance,mnKs26GHlQu
NHMIS Instance,NHMIS instance dataelements,010. BCG Diluent - Received,rujNxzd8byl
NHMIS Instance,NHMIS instance dataelements,011. BCG Diluent - Doses Opened,Hryc9exWOlY
NHMIS Instance,NHMIS instance dataelements,012. BCG Diluent - Returned,MdpYDKieyNp
NHMIS Instance,NHMIS instance dataelements,013. Hep B Vaccine - Maximum Stock,ijmGBU7Hpol
NHMIS Instance,NHMIS instance dataelements,014. Hep B Vaccine - Minimum Stock,NGR4bmwftwQ
NHMIS Instance,NHMIS instance dataelements,015. Hep B Vaccine - Opening Balance,WksvUvMXYtY
NHMIS Instance,NHMIS instance dataelements,016. Hep B Vaccine - Received,rCHyFA9pur0
NHMIS Instance,NHMIS instance dataelements,017. Hep B Vaccine - Doses Opened,bKpfMjBOohB
NHMIS Instance,NHMIS instance dataelements,018. Hep B Vaccine - Returned,EDW5LsVTSfS
NHMIS Instance,NHMIS instance dataelements,019. OPV Vaccine - Maximum Stock,rtUKsH1qToW
NHMIS Instance,NHMIS instance dataelements,020. OPV Vaccine - Minimum Stock,B4uMubEX4q4
NHMIS Instance,NHMIS instance dataelements,021. OPV Vaccine - Opening Balance,bctPcCKJ2Ul
NHMIS Instance,NHMIS instance dataelements,022. OPV Vaccine - Received,qM0OZFXA8vN
NHMIS Instance,NHMIS instance dataelements,023. OPV Vaccine - Doses Opened,EEAUw73JClN
NHMIS Instance,NHMIS instance dataelements,"0-24 hours feeding on water, any milk or drink(Community)",oMtlu6nMz3d
NHMIS Instance,NHMIS instance dataelements,024. OPV Vaccine - Returned,Lcm0zog325Y
NHMIS Instance,NHMIS instance dataelements,025. Penta Vaccine - Maximum Stock,bAWY9YojUKi
NHMIS Instance,NHMIS instance dataelements,026. Penta Vaccine - Minimum Stock,Egdf33OenWa
NHMIS Instance,NHMIS instance dataelements,027. Penta Vaccine - Opening Balance,XeEhY1acJ7p
NHMIS Instance,NHMIS instance dataelements,0-28 days old who is sick(Community),PYwGvkYhKNg
NHMIS Instance,NHMIS instance dataelements,0-28 days seen with diarrhoea(Community),jX9ZnIghKQP
NHMIS Instance,NHMIS instance dataelements,0-28 days seen with diarrhoea referred for further management(Community),gVX0Ny3hWHx
